id,provider_id,category_id,description,experience_years
44444444-dddd-4d01-8000-000000000001,33333333-cccc-4c01-8000-000000000001,2a6d0e2c-0001-0000-0000-000000000001,Skill Petits travaux,3
44444444-dddd-4d01-8000-000000000002,33333333-cccc-4c01-8000-000000000001,2a6d0e2c-0002-0000-0000-000000000002,Skill Aide ménagère,3
44444444-dddd-4d01-8000-000000000003,33333333-cccc-4c01-8000-000000000001,2a6d0e2c-0003-0000-0000-000000000003,Skill Cours,3

44444444-dddd-4d01-8000-000000000004,33333333-cccc-4c01-8000-000000000002,2a6d0e2c-0002-0000-0000-000000000002,Skill Aide ménagère,2
44444444-dddd-4d01-8000-000000000005,33333333-cccc-4c01-8000-000000000002,2a6d0e2c-0003-0000-0000-000000000003,Skill Cours,2
44444444-dddd-4d01-8000-000000000006,33333333-cccc-4c01-8000-000000000002,2a6d0e2c-0004-0000-0000-000000000004,Skill Soins,2

44444444-dddd-4d01-8000-000000000007,33333333-cccc-4c01-8000-000000000003,2a6d0e2c-0003-0000-0000-000000000003,Skill Cours,5
44444444-dddd-4d01-8000-000000000008,33333333-cccc-4c01-8000-000000000003,2a6d0e2c-0004-0000-0000-000000000004,Skill Soins,5
44444444-dddd-4d01-8000-000000000009,33333333-cccc-4c01-8000-000000000003,2a6d0e2c-0005-0000-0000-000000000005,Skill Transport,5

44444444-dddd-4d01-8000-000000000010,33333333-cccc-4c01-8000-000000000004,2a6d0e2c-0001-0000-0000-000000000001,Skill Petits travaux,1
44444444-dddd-4d01-8000-000000000011,33333333-cccc-4c01-8000-000000000004,2a6d0e2c-0004-0000-0000-000000000004,Skill Soins,1
44444444-dddd-4d01-8000-000000000012,33333333-cccc-4c01-8000-000000000004,2a6d0e2c-0005-0000-0000-000000000005,Skill Transport,1

44444444-dddd-4d01-8000-000000000013,33333333-cccc-4c01-8000-000000000005,2a6d0e2c-0001-0000-0000-000000000001,Skill Petits travaux,7
44444444-dddd-4d01-8000-000000000014,33333333-cccc-4c01-8000-000000000005,2a6d0e2c-0002-0000-0000-000000000002,Skill Aide ménagère,7
44444444-dddd-4d01-8000-000000000015,33333333-cccc-4c01-8000-000000000005,2a6d0e2c-0005-0000-0000-000000000005,Skill Transport,7

44444444-dddd-4d01-8000-000000000016,33333333-cccc-4c01-8000-000000000006,2a6d0e2c-0002-0000-0000-000000000002,Skill Aide ménagère,4
44444444-dddd-4d01-8000-000000000017,33333333-cccc-4c01-8000-000000000006,2a6d0e2c-0003-0000-0000-000000000003,Skill Cours,4
44444444-dddd-4d01-8000-000000000018,33333333-cccc-4c01-8000-000000000006,2a6d0e2c-0005-0000-0000-000000000005,Skill Transport,4

44444444-dddd-4d01-8000-000000000019,33333333-cccc-4c01-8000-000000000007,2a6d0e2c-0001-0000-0000-000000000001,Skill Petits travaux,6
44444444-dddd-4d01-8000-000000000020,33333333-cccc-4c01-8000-000000000007,2a6d0e2c-0003-0000-0000-000000000003,Skill Cours,6
44444444-dddd-4d01-8000-000000000021,33333333-cccc-4c01-8000-000000000007,2a6d0e2c-0004-0000-0000-000000000004,Skill Soins,6

44444444-dddd-4d01-8000-000000000022,33333333-cccc-4c01-8000-000000000008,2a6d0e2c-0002-0000-0000-000000000002,Skill Aide ménagère,3
44444444-dddd-4d01-8000-000000000023,33333333-cccc-4c01-8000-000000000008,2a6d0e2c-0004-0000-0000-000000000004,Skill Soins,3
44444444-dddd-4d01-8000-000000000024,33333333-cccc-4c01-8000-000000000008,2a6d0e2c-0005-0000-0000-000000000005,Skill Transport,3

44444444-dddd-4d01-8000-000000000025,33333333-cccc-4c01-8000-000000000009,2a6d0e2c-0001-0000-0000-000000000001,Skill Petits travaux,2
44444444-dddd-4d01-8000-000000000026,33333333-cccc-4c01-8000-000000000009,2a6d0e2c-0002-0000-0000-000000000002,Skill Aide ménagère,2
44444444-dddd-4d01-8000-000000000027,33333333-cccc-4c01-8000-000000000009,2a6d0e2c-0003-0000-0000-000000000003,Skill Cours,2

44444444-dddd-4d01-8000-000000000028,33333333-cccc-4c01-8000-000000000010,2a6d0e2c-0003-0000-0000-000000000003,Skill Cours,8
44444444-dddd-4d01-8000-000000000029,33333333-cccc-4c01-8000-000000000010,2a6d0e2c-0004-0000-0000-000000000004,Skill Soins,8
44444444-dddd-4d01-8000-000000000030,33333333-cccc-4c01-8000-000000000010,2a6d0e2c-0005-0000-0000-000000000005,Skill Transport,8
